first_publish_year,edition_count,subject_count,has_cover,is_available_online,genre,avg_rating,ratings_count,page_count,review_length,price_usd,book_age,has_rating,review_density,is_popular,price_category,price_cat_encoded,genre_encoded
1872.0,1.0,0.45783132530120485,1,1,fiction,0.625,0.046511627906976744,0.48800000000000004,0.30859375,0.19034971226206285,0.51,1,0.1137361029842013,1,Budget,0,12
1707.0,1.0,1.0000000000000002,1,1,fiction,0.765625,0.12403100775193798,0.464,0.32421875,0.11952191235059759,1.0,1,0.12507314218841425,1,Budget,0,12
1900.0,1.0,0.6626506024096386,1,1,fiction,0.7613636363636365,0.34108527131782945,0.44,0.05859375,0.13413014608233728,0.4166666666666667,1,0.05207723815096549,1,Budget,0,12
1897.0,1.0,0.7831325301204819,1,1,fiction,0.760752688172043,1.0,0.328,0.96875,0.12040725984949094,0.4266666666666667,1,0.41533791691047395,1,Budget,0,12
1830.0,1.0,0.7951807228915663,1,1,fiction,0.822538860103627,1.0,0.422,1.0,0.22753430721558207,0.65,1,0.34943680514921,1,Budget,0,12
1904.0,1.0,0.5060240963855421,1,1,fiction,0.5921052631578947,0.14728682170542634,0.43,0.3828125,0.17042939353696326,0.4033333333333334,1,0.15389116442363954,1,Budget,0,12
1478.0,1.0,1.0000000000000002,1,1,fiction,0.5703125,0.24806201550387597,0.38600000000000007,0.9609375,0.20495794599380254,1.0,1,0.36307782328847277,1,Budget,0,12
1932.0,1.0,0.9036144578313253,1,1,fiction,0.744047619047619,1.0,0.448,1.0,0.2753430721558211,0.31,1,0.33213867758923343,1,Budget,0,12
1892.0,1.0,0.7469879518072289,1,1,fiction,0.7816455696202531,0.6124031007751938,0.502,0.71875,0.15891987605135013,0.44333333333333336,1,0.22293739028671739,1,Budget,0,12
1734.0,1.0,0.8192771084337349,1,1,fiction,0.75,0.046511627906976744,0.6440000000000001,0.1953125,0.18769366976538296,0.9700000000000001,1,0.05354008191925104,1,Budget,0,12
1734.0,1.0,0.4096385542168675,1,1,fiction,0.6875,0.09302325581395349,0.48000000000000004,0.53515625,0.24878264718902168,0.9700000000000001,1,0.18040520772381508,1,Budget,0,12
1912.0,1.0,0.5060240963855421,1,1,fiction,0.75,0.031007751937984496,0.48800000000000004,0.0703125,0.1553784860557769,0.3766666666666667,1,0.04673785839672323,1,Budget,0,12
1973.0,1.0,0.13253012048192772,1,1,fiction,0.6833333333333332,0.11627906976744186,0.456,0.625,0.12837538733953077,0.17333333333333334,1,0.21631802223522528,1,Budget,0,12
1516.0,1.0,1.0000000000000002,1,1,fiction,0.78125,0.12403100775193798,0.278,0.63671875,0.16600265604249667,1.0,1,0.33191925102399067,1,Budget,0,12
1905.0,1.0,0.4096385542168675,1,1,fiction,0.78125,0.12403100775193798,0.46,0.7578125,0.1434262948207171,0.4,1,0.2535108250438853,1,Budget,0,12
1905.0,1.0,0.44578313253012053,1,1,fiction,0.6875,0.15503875968992248,0.468,0.30859375,0.27932713590084113,0.4,1,0.11933148039789353,1,Budget,0,12
1850.0,1.0,0.891566265060241,1,1,fiction,0.7625,0.15503875968992248,0.7,0.5390625,0.25807879592740157,0.5833333333333334,1,0.11914862492685781,1,Budget,0,12
1943.0,1.0,0.7951807228915663,1,1,fiction,0.8407079646017701,1.0,0.444,1.0,0.22709163346613545,0.2733333333333334,1,0.3346986541837331,1,Budget,0,12
1734.0,1.0,1.0000000000000002,1,1,fiction,0.6764705882352942,0.26356589147286824,0.49200000000000005,0.63671875,0.26914563966356797,0.9700000000000001,1,0.20435927442949092,1,Budget,0,12
1678.0,1.0,1.0000000000000002,1,1,fiction,0.8374999999999999,0.15503875968992248,0.46,0.3359375,0.2571934484285082,1.0,1,0.12971767115272087,1,Budget,0,12
1791.0,1.0,1.0000000000000002,1,1,fiction,0.75,0.40310077519379844,0.35000000000000003,0.140625,0.14785303231518374,0.78,1,0.10152135751901696,1,Budget,0,12
1800.0,1.0,0.7710843373493976,1,1,fiction,0.95,0.03875968992248062,0.5720000000000001,0.52734375,0.27268702965914127,0.75,1,0.14803978935049739,1,Budget,0,12
1707.0,1.0,0.9518072289156626,1,1,fiction,0.8184210526315789,0.7364341085271318,0.536,0.7109375,0.2102700309871625,1.0,1,0.20706553540081918,1,Budget,0,12
1919.0,1.0,0.20481927710843373,1,1,fiction,0.75,0.031007751937984496,0.538,0.34375,0.25763612217795484,0.35333333333333333,1,0.11026184903452312,1,Budget,0,12
1902.0,1.0,0.26506024096385544,1,1,fiction,0.9189189189189189,0.2868217054263566,0.37600000000000006,0.70703125,0.2735723771580345,0.41000000000000003,1,0.2850351082504388,1,Budget,0,12
